country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Bosnia and Herzegovina,BA,BIH,3280815,9,0,5/31/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,10/12/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,134,2,9/7/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,69,1,5/5/2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,2/10/2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,0,0,6/14/2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,124,2,7/10/2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,0,2/17/2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,114,2,9/16/2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,25,0,10/14/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,947,5,5/15/2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,112,2,8/10/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,33,0,3/7/2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,24,2,6/15/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,61,2,6/28/2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,339,8,7/14/2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,36,3,5/13/2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,1/30/2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,279,19,4/3/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,0,1/31/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,8/14/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,2/13/2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,78,0,9/27/2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1389,174,5/4/2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,267,5,4/5/2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,8,1,5/28/2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,35,5,3/22/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,1/4/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,0,0,1/18/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,7/13/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,1,0,5/4/2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,11,0,5/18/2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,0,0,1/19/2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,1,0,10/4/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,32,0,4/6/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,141,11,8/17/2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,40,0,10/3/2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,3/31/2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,200,53,5/16/2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,8/10/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,6,0,6/10/2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,5/30/2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,1042,0,3/19/2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,7/17/2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,152,9,7/7/2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,8/5/2020,"Epidemic intelligence, national daily data"
